"","ResponseId","Q49_1","Q2_1","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q5","Q8","Q9","Race","Best_Way_to_hear","Aquatic Interest","Art Interest","Game Night Interest","Fitness Class Interest","Intramural Sports Interst","Programs Interest","Q14","How Hear"
"664","R_ey5BNctOkKYkGCR","4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Text ,Mail ,Brochure ,Calendar","Rec Open Swim ,Water Fitness","Painting ,Jewelry Making","None of the above","Yoga","None of the above","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","I never hear about the programs"
"665","R_3k66SiMMIKc2QQJ","4","2","11","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","Less than 26,000","No","Black or African American","Text","Water Fitness","Painting ,Drawing ,Jewelry Making","E-Games ,Card Games","Circuit training ,Yoga ,Adult Ballet (or other dance)","Volleyball ,Indoor soccer","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Facebook"
"666","R_3shsLSz6cq0VhCl","4","2","13",NA,"13",NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","Yes","American Indian or Alaska Native","Email ,Text","Traditional Swim Lessons ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making","None of the above","Circuit training ,Boot camp ,Yoga","Basketball ,Volleyball ,Indoor soccer","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","I never hear about the programs"
"667","R_2chi8Y0ZLyc4Jbs","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email","Paddleboard Yoga","Painting","Board Games","Circuit training ,Yoga ,Pilates ,Adult Ballet (or other dance)","Volleyball","Cooking classes","Slightly familiar","Facebook"
"668","R_1pAtEAcp9vvYWBr","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Mail ,Brochure ,Calendar","Water Fitness","Painting","Board Games","Yoga ,Adult Ballet (or other dance)","Pickleball","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Other"
"669","R_1mVfXwOIUb7ybae","3","2","16","11",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","Black or African American","Email","Traditional Swim Lessons ,Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Water Polo ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,E-Games ,Card Games ,Chess","Circuit training ,Boot camp ,Yoga ,Pilates","Basketball ,Volleyball ,Badminton ,Indoor soccer ,Pickleball ,Tennis","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Email,Word of Mouth,Through Community Involvement"
"670","R_3kHOUW1Y5M360hv","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","Yes","Other","Email ,Text ,Mail","Lifeguard Programs ,Water Fitness","Jewelry Making","Board Games ,E-Games ,Card Games","Circuit training ,Boot camp","","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Facebook"
"671","R_1qfe2pTG1I67dj1","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","26,000-34,999","Yes","Black or African American","Text","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Drawing ,Lettering","Board Games","Circuit training ,Boot camp","Basketball ,Volleyball","Cooking classes","Moderately familiar","Facebook"
"672","R_XkcxIJ2CmOugyGt","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White_Black or African American","Email ,Mail","Rec Lap Swim ,Rec Open Swim","Painting ,Drawing","Chess","Yoga","Basketball","Cooking classes ,Guided hikes","Very familiar","Facebook,Through Community Involvement"
"673","R_5gru4oX7UQHXt8R","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Mail ,Brochure ,Calendar","Rec Open Swim ,Water Fitness","Painting ,Drawing ,Jewelry Making","Board Games ,Card Games","Adult Ballet (or other dance) ,Other","Badminton","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Extremely familiar","Email,Mail,Word of Mouth,Through Community Involvement"
