"","ResponseId","Q49_1","Q2_1","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q5","Q8","Q9","Race","Best_Way_to_hear","Aquatic Interest","Art Interest","Game Night Interest","Fitness Class Interest","Intramural Sports Interst","Programs Interest","Q14","How Hear"
"100","R_3nvbDYYrmLmM9Gx","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Brochure ,Calendar","Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim","Other: ,None of the above","Board Games ,E-Games ,Card Games","None of the above","None of the above","Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","Word of Mouth"
"101","R_3HGNpQO4SALIx6a","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","Black or African American","Email ,Mail ,Brochure","Water Fitness ,Paddleboard Yoga","Painting ,Jewelry Making","None of the above","Boot camp ,Yoga","None of the above","Guided hikes","Very familiar","Email,Facebook,Through Community Involvement"
"102","R_bD6ElYYZqdgm5Ut","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Less than 26,000","No","White","Email","Traditional Swim Lessons","None of the above","Board Games ,E-Games","None of the above","None of the above","Guided hikes","Slightly familiar","Email"
"103","R_1JVNqifwq2bK385","7","2","2","14",NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","Black or African American","Brochure ,Calendar","Traditional Swim Lessons ,Lifeguard Programs ,Water Fitness ,Paddleboard Yoga ,Other:","Painting ,Drawing ,Jewelry Making ,Lettering ,Other:","Other:","Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance) ,Other","Basketball ,Volleyball ,Tennis","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Facebook"
"104","R_2A0EWJuOz6YBrGE","5","3","18","16","13",NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email","Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making","E-Games ,Card Games","Boot camp ,Yoga","Basketball ,Volleyball","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Word of Mouth"
"105","R_3OpPL8HDRWEkmaQ","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","65,000-103,999","No","White","Email ,Mail ,Brochure ,Calendar ,Other:","Rec Lap Swim ,Water Fitness","Jewelry Making ,Lettering","None of the above","Circuit training ,Boot camp ,Yoga ,Pilates","Other:","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Email,Mail,Facebook,Through Community Involvement"
"106","R_abBBGyt2xe1bj3P","3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","More than 115,999","No","White","Email ,Calendar","Rec Open Swim","None of the above","None of the above","Yoga","None of the above","None of the above","Moderately familiar","Email,Text,Through Community Involvement"
"107","R_bm9rCppfxCntIWJ","2","1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email","Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making","None of the above","Yoga ,Adult Ballet (or other dance)","Basketball ,Volleyball ,Badminton ,Indoor soccer ,Tennis","Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Extremely familiar","Email,Mail,Word of Mouth"
"108","R_yBZI31CnWDkspvb","6","3","18","16","16","11",NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Brochure","Traditional Swim Lessons ,Lifeguard Programs","Painting ,Drawing","Board Games ,Card Games","None of the above","Basketball ,Indoor soccer","Cooking classes","Moderately familiar","Facebook,Through Community Involvement"
"109","R_31mjfriRkP0UihT","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Calendar","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","","Board Games ,Card Games","Yoga","Volleyball","Guided hikes","Slightly familiar","Facebook"
"110","R_31FUeoolwjE1Mko","7","4","9","7","7","4",NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Brochure","Traditional Swim Lessons ,Lifeguard Programs ,Rec Open Swim ,Water Polo","Painting ,Drawing","None of the above","None of the above","Basketball ,Volleyball","None of the above","Very familiar","Email"
"111","R_s7g1kynLoBvZc5z","4","2","9","4",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Brochure ,Calendar","Rec Lap Swim ,Rec Open Swim","None of the above","Chess","Circuit training ,Boot camp ,Yoga","Indoor soccer","Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Email,Word of Mouth,Facebook,Through Community Involvement"
"112","R_1Lkw8pGkqcsCMwm","7","2","13","16","18",NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email","Traditional Swim Lessons ,Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Water Polo ,Paddleboard Yoga","Painting ,Drawing","","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Basketball ,Volleyball ,Badminton ,Indoor soccer ,Pickleball ,Tennis","","Very familiar","Email,Mail,Word of Mouth,Facebook,Through Community Involvement"
"113","R_1DSY99Dwi4O1mqo","4","2","7","7",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Brochure","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness ,Paddleboard Yoga ,Other:","Painting ,Drawing ,Jewelry Making ,Lettering ,Other:","Board Games ,Card Games","Circuit training ,Boot camp ,Yoga ,Pilates","Badminton ,Pickleball ,Tennis","Golf simulator ,Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Facebook,I never hear about the programs"
"114","R_soooLhHjSACkn7z","4","2","18","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email ,Brochure ,Calendar","Water Fitness ,Paddleboard Yoga","Other:","Other:","Circuit training","Volleyball","Guided hikes","Slightly familiar","Email,Word of Mouth,Other"
"115","R_3FQiIaC8ZDjzx1C","6","2","14","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","Less than 26,000","Yes","Other","Email ,Text","Traditional Swim Lessons ,Rec Open Swim","Painting","None of the above","Adult Ballet (or other dance)","None of the above","Environmental habits (composting, home garden, bee-keeping)","Extremely familiar","Email"
"116","R_2i3XOX5a8e1GMnv","5","1","18","18","16",NA,NA,NA,NA,NA,NA,NA,"No","Don't Know","No","White","Email ,Other:","Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim ,Water Fitness","Painting ,Drawing","Board Games ,Card Games ,Chess","Circuit training ,Boot camp ,Yoga ,Pilates","Basketball ,Indoor soccer ,Tennis","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Email,Facebook"
"117","R_31i8pJ0HX6mHaLc","5","1","18","18","16",NA,NA,NA,NA,NA,NA,NA,"No","Don't Know","No","White","Email ,Brochure ,Other:","Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim","Painting ,Drawing","Board Games ,Card Games ,Chess","Circuit training ,Boot camp ,Yoga ,Pilates","Basketball ,Indoor soccer ,Tennis","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Email,Facebook"
"118","R_0eLvGdA2FosHwKB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,""
"119","R_2Ww2AAJeWT23Ak6","4","2","7","4",NA,NA,"0",NA,"0",NA,NA,NA,"No","35,000-44,999","No","Black or African American","Email ,Mail","Traditional Swim Lessons ,Water Fitness","Painting ,Drawing ,Jewelry Making","Board Games","Circuit training","None of the above","Cooking classes","Moderately familiar","Facebook"
"120","R_3RpEJN2HsHcdQC5","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","Black or African American","Email ,Text ,Calendar","Traditional Swim Lessons ,Lifeguard Programs ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,E-Games ,Card Games","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Basketball ,Volleyball ,Tennis ,Other:","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Email,Word of Mouth,Through Community Involvement"
"121","R_3FJWSOGICdUnISS","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Text","Rec Open Swim","Painting ,Jewelry Making","Card Games","Yoga","None of the above","Cooking classes","Very familiar","Facebook"
"122","R_0BuuA5oVtH6ZiGB","4","2","5","14",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","Black or African American","Email ,Text ,Brochure ,Calendar","Traditional Swim Lessons ,Lifeguard Programs ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Jewelry Making","Board Games ,E-Games ,Card Games","Circuit training ,Boot camp ,Yoga","Basketball ,Volleyball ,Indoor soccer","Guided hikes","Slightly familiar","Email,Facebook"
"123","R_2bTLHWzEZ5gcfat","5","3","7","9","16",NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Mail ,Brochure","Traditional Swim Lessons ,Lifeguard Programs ,Rec Lap Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Jewelry Making ,Lettering","Chess","Circuit training ,Boot camp ,Adult Ballet (or other dance)","Volleyball ,Tennis","Golf simulator ,Guided hikes","Slightly familiar","Email,Mail"
"124","R_28Hep8w972Xz8CW","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Other:","Rec Lap Swim ,Water Fitness ,Paddleboard Yoga ,Other:","None of the above","None of the above","Yoga ,Adult Ballet (or other dance)","None of the above","Golf simulator ,Cooking classes","Slightly familiar","Other"
"125","R_2wF63tcyPdE7Dht","3","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White_Black or African American","Email","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Paddleboard Yoga","Jewelry Making","Board Games ,Card Games","Yoga","Volleyball","Cooking classes","Moderately familiar","Email,Facebook"
"126","R_1ZB19BtsCjiyNep","2","1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Less than 26,000","No","Black or African American","Email","Traditional Swim Lessons ,Water Fitness","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,Card Games","Boot camp ,Yoga ,Adult Ballet (or other dance)","Basketball ,Volleyball ,Indoor soccer","Cooking classes","Moderately familiar","Email"
"127","R_2YFGE9ohu6aBvab","5","3","7","5","0",NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","Black or African American","","None of the above","None of the above","E-Games","Circuit training","Basketball","Golf simulator ,Guided hikes","Slightly familiar","Word of Mouth"
"128","R_3n0qZVdbEpSm37D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,""
"129","R_2qaZyySFVetGgYF","4","2","7","4",NA,NA,NA,NA,NA,"0",NA,"0","No","More than 115,999","No","White","Email ,Mail ,Calendar","Traditional Swim Lessons ,Water Fitness","None of the above","None of the above","Yoga ,Pilates","Indoor soccer","Guided hikes","Moderately familiar","Email,Word of Mouth,Facebook,Through Community Involvement"
"130","R_vH2jodKurnaBPhL","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","Other","Email","Traditional Swim Lessons","Other: ,None of the above","Board Games","None of the above","Basketball","Golf simulator ,Cooking classes","Slightly familiar","Email"
"131","R_28UmaGNtP4xQb9x","5","3","2","7","9",NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Painting ,Drawing","Board Games ,Card Games","Yoga","None of the above","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Other"
"132","R_zTjgryVUXzpdjj3","4","2","9","0",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Mail","Traditional Swim Lessons","Painting ,Drawing","None of the above","None of the above","Basketball ,Volleyball ,Badminton ,Indoor soccer","Golf simulator ,Cooking classes","Slightly familiar","Word of Mouth"
"133","R_31pm8CmN3CCW54r","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Mail ,Other:","Water Fitness ,Paddleboard Yoga","Painting ,Drawing","None of the above","Yoga","Basketball","Golf simulator ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Word of Mouth,Other"
"134","R_z2uZll0Yb3b52mJ","4","1","16","0",NA,NA,"0",NA,"0","0",NA,NA,"No","More than 115,999","No","White","Email","Rec Open Swim","Painting","None of the above","Yoga","None of the above","Cooking classes","Moderately familiar","Email,Facebook"
"135","R_2yavITYbe8ZXMeI","3","2","14","4",NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","Black or African American","Email ,Mail ,Brochure ,Calendar","Traditional Swim Lessons","Painting ,Drawing","Board Games","Circuit training","Basketball ,Badminton ,Tennis","Golf simulator ,Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Text,Mail,Through Community Involvement"
"136","R_2ARz8amqwYIb0WX","4","2","16","14",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email","None of the above","Jewelry Making","None of the above","None of the above","None of the above","Cooking classes","Moderately familiar","Mail"
"137","R_2VlNSg5d38rx90P","4","2","5","9",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Brochure","Traditional Swim Lessons ,Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Water Polo ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making","Board Games ,E-Games ,Card Games","Circuit training ,Boot camp ,Yoga ,Adult Ballet (or other dance)","Indoor soccer","Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Text,Mail,Word of Mouth,Facebook,Through Community Involvement"
"138","R_3G6waCQfbSUGnzB","5","3","5","4",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Text ,Calendar","Traditional Swim Lessons","Painting ,Drawing ,Lettering","None of the above","Yoga ,Adult Ballet (or other dance)","Basketball ,Indoor soccer","Cooking classes","Moderately familiar","Email,Word of Mouth,Facebook"
"139","R_sRqFXPttEb4YGdz","4","2","13","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email","Rec Lap Swim","None of the above","None of the above","Boot camp ,Pilates","None of the above","Golf simulator","Very familiar","Email,Word of Mouth,Through Community Involvement,Other"
"140","R_3imwwkUiZ0KOcCq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,""
"141","R_3NNSuJQxQoUFGK6","3","2","7","2",NA,NA,NA,NA,NA,NA,NA,NA,"No","Less than 26,000","No","Black or African American","Email ,Text ,Brochure ,Calendar","Traditional Swim Lessons","Painting ,Lettering","Board Games ,E-Games ,Card Games","Circuit training","Basketball ,Tennis","Cooking classes","Extremely familiar","Email,Word of Mouth,Through Community Involvement"
"142","R_Bs2pmQzPJc9ywhj","4","2","16","13",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White_Black or African American","Email ,Mail ,Brochure ,Calendar","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Lettering","Board Games ,Card Games ,Chess","Circuit training ,Boot camp ,Other","Volleyball ,Badminton ,Tennis","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Word of Mouth,Through Community Involvement"
"143","R_25KoNWcXmgJHJCx","5","3","5","5","9",NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","Black or African American","Brochure","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim","Painting ,Drawing","Board Games ,Card Games","Circuit training ,Boot camp ,Yoga ,Pilates","Basketball ,Indoor soccer","Guided hikes","Very familiar","Facebook"
"144","R_31QM46tiQXjrWbg","7","3","0","7","11",NA,NA,NA,NA,NA,NA,NA,"No","Less than 26,000","No","Other","Text","Traditional Swim Lessons","Painting ,Drawing ,Jewelry Making ,Lettering","None of the above","None of the above","Basketball ,Volleyball ,Badminton ,Indoor soccer ,Pickleball ,Tennis","None of the above","Slightly familiar","Other"
"145","R_1LGScBkmmIEdiAn","3","1","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Brochure","Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim ,Paddleboard Yoga","Painting ,Drawing","Board Games ,Other:","Circuit training ,Boot camp ,Pilates ,Adult Ballet (or other dance)","Pickleball ,Tennis","Cooking classes ,Guided hikes","Extremely familiar","Email"
"146","R_2dBhLh8wK907TXi","3","1","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","Other","Email","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Drawing ,Lettering","","","","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Email"
"147","R_PTAlKzERELLV4n7","2","1","7",NA,NA,NA,"0",NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness","Painting ,Drawing","","Yoga ,Adult Ballet (or other dance)","Basketball ,Indoor soccer","Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Through Community Involvement"
"148","R_ZfX6Xt5RWR3MXyV","3","1","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","Black or African American","Email ,Mail ,Brochure","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Jewelry Making","None of the above","Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","None of the above","Cooking classes","Slightly familiar","Email"
"149","R_22SvOANLCYgCYUB","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Email ,Brochure","Rec Lap Swim","Painting ,Drawing ,Lettering","","","Basketball ,Indoor soccer","None of the above","Slightly familiar","I never hear about the programs"
"150","R_31nGe0t7LCqpkt5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,""
"151","R_3gMgKUE1CHBVbfw","4","1","11","18",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Other:","Traditional Swim Lessons ,Rec Lap Swim","Painting ,Drawing ,Jewelry Making","Board Games ,Chess","Circuit training ,Boot camp","Tennis","Environmental habits (composting, home garden, bee-keeping)","Very familiar","Through Community Involvement"
"152","R_2aRCYCeEUs3DQVp","4","2","14","9",NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email","Lifeguard Programs ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Jewelry Making ,Lettering","Other:","Yoga","Basketball ,Indoor soccer","Golf simulator ,Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Email,Facebook,Through Community Involvement"
"153","R_25z72pBotEnclPE","4","2","7","14",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Mail ,Brochure ,Calendar","Traditional Swim Lessons ,Paddleboard Yoga","Jewelry Making ,Lettering","Board Games ,E-Games ,Card Games","Yoga","Basketball ,Volleyball","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email"
"154","R_1IWoWdujkQeTsGg","3","1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Mail ,Brochure","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,E-Games ,Card Games","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Badminton ,Indoor soccer ,Tennis","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Mail"
"155","R_T7ntpVZMh4ulVaF","4","2","9","7",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Paddleboard Yoga","Painting ,Jewelry Making","","Circuit training ,Pilates","Basketball ,Indoor soccer","Golf simulator","Very familiar","Email,Facebook"
"156","R_1o4HxbGRdGqPjrr","4","2","7","11",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Text ,Mail ,Brochure","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness","Drawing","Board Games ,Card Games","Pilates ,Adult Ballet (or other dance)","Volleyball ,Badminton ,Pickleball","Golf simulator","Moderately familiar","Mail"
"157","R_29hUX49JatYy61Q","4","2","9","7",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White_Black or African American","Email ,Text","Traditional Swim Lessons ,Rec Open Swim ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making","Board Games ,Card Games","Circuit training ,Boot camp ,Yoga","Basketball ,Volleyball ,Badminton ,Indoor soccer ,Tennis","Golf simulator ,Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Mail,Through Community Involvement"
"158","R_Z93qkunZMQtrQjf","3","2","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","Yes","Other","Email ,Brochure ,Calendar","Traditional Swim Lessons ,Water Fitness","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,E-Games ,Card Games ,Chess","Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Tennis","Golf simulator ,Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Email,Facebook"
"159","R_1gkDYB7Ja8z32nX","4","2","4","14",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","Black or African American","Email ,Mail ,Brochure","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","None of the above","Board Games ,E-Games ,Card Games","Circuit training ,Boot camp ,Yoga","Basketball ,Volleyball ,Tennis ,Other:","None of the above","Slightly familiar","Email"
"160","R_0DRsc80J0dcIcFj","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Brochure ,Calendar","Rec Lap Swim ,Paddleboard Yoga","Painting ,Drawing","","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","None of the above","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Word of Mouth,Facebook"
"161","R_z7GWDbYT1qSr35D","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Don't Know","No","White","Email ,Brochure ,Calendar","Water Fitness ,Paddleboard Yoga","Drawing ,Lettering","Board Games","Yoga ,Pilates","None of the above","None of the above","Slightly familiar","Other"
"162","R_2DYbvq8ICtH71dw","6","4","0","7","9","13",NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email","Rec Lap Swim ,Rec Open Swim","Painting ,Drawing ,Jewelry Making","Card Games","Boot camp ,Yoga ,Adult Ballet (or other dance)","Volleyball ,Pickleball","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Mail,Word of Mouth"
"163","R_1dyoQg6FPUdCkzW","6","4","9","7","2","2",NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Brochure","Traditional Swim Lessons ,Water Fitness","Painting ,Drawing ,Lettering","","Adult Ballet (or other dance)","Basketball ,Volleyball ,Badminton ,Indoor soccer","Cooking classes","Moderately familiar","Facebook"
"164","R_3k7EujxA3fjZ8Vx","5","3","0","2","7",NA,NA,NA,NA,NA,NA,NA,"No","26,000-34,999","Yes","White_Other","Email ,Mail ,Brochure ,Calendar","Traditional Swim Lessons ,Lifeguard Programs","Painting ,Drawing ,Lettering","None of the above","Circuit training ,Boot camp ,Pilates","Basketball ,Volleyball ,Badminton ,Indoor soccer ,Tennis","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Through Community Involvement"
"165","R_2wtXugBfIhWvT40","6","4","2","4","9","13",NA,NA,NA,"18",NA,NA,"No","Less than 26,000","Yes","White","Email","Traditional Swim Lessons ,Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Lettering","Board Games ,Card Games","Circuit training","Basketball ,Volleyball ,Badminton","Cooking classes","Not familiar at all","Email"
"166","R_1F54LUSamSflJan","3","1","13","0",NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","Black or African American","Email","Traditional Swim Lessons","Painting ,Drawing ,Jewelry Making","Chess","Circuit training ,Boot camp ,Adult Ballet (or other dance)","","Cooking classes","Very familiar","Mail"
"167","R_1QtHGt7l6Rej54V","4","2","13","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White_Black or African American_Other","Email","Lifeguard Programs ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,E-Games ,Card Games ,Chess","Yoga ,Adult Ballet (or other dance)","Volleyball ,Tennis","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","I never hear about the programs"
"168","R_2WHb4H9ClWib5NP","3","1","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Mail ,Brochure ,Calendar","Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,Card Games ,Chess","Circuit training ,Boot camp ,Yoga ,Pilates","Volleyball ,Tennis","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Email,Facebook"
"169","R_1BVe9nJQCLDljYR","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email","None of the above","Painting ,Drawing","Board Games ,Card Games ,Chess","None of the above","","Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Word of Mouth"
"170","R_2BhXjCiD2VULTKd","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","45,000-64,999","No","White_American Indian or Alaska Native_Asian","Email ,Calendar","Traditional Swim Lessons ,Lifeguard Programs ,Rec Open Swim ,Water Polo","Other:","Chess","Other","Basketball ,Volleyball ,Pickleball ,Other:","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Other"
"171","R_PAvKFarEcR11E9X","6","4","9","11","13","16",NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Text ,Mail ,Brochure ,Calendar","Traditional Swim Lessons ,Lifeguard Programs ,Rec Open Swim","Painting ,Drawing ,Jewelry Making ,Lettering","None of the above","Yoga ,Pilates","Volleyball ,Indoor soccer","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Email"
"172","R_dnxsvPuU1tEG3zr","3","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email ,Brochure ,Calendar","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,Card Games ,Chess","Yoga","","Cooking classes","Very familiar","Word of Mouth,Facebook,Through Community Involvement"
